epimed,epimean,envmed,envmean
0,0,1,1
0,0,1,1
0,0,1,1
0.00070028,0.00030012,0.99929972,0.99969988
0.002,0.0001,0.998,0.9999
0.0025,0,0.9975,1
0.002765181,0.004424289,0.997345426,0.995575711
0.002875788,0.00199093,0.997234819,0.99800907
0.004802401,0.0014007,0.995197599,0.9985993
0.0051,0.0001,0.9949,0.9999
0.027,0.4277,0.9754,0.5723
0.0274,0.0026,0.9726,0.9974
0.037214444,0.036109064,0.963522476,0.963890936
0.049780173,0.511558644,0.95107077,0.488441356
0.05106383,0.054545455,0.951644101,0.945454545
0.067306731,0.00270027,0.937793779,0.99729973
0.072696534,0.110876303,0.927867005,0.889123697
0.079884851,0.0302267,0.921554516,0.9697733
0.0979,0.0296,0.9045,0.9704
0.113926889,0.05797264,0.896165059,0.94202736
0.137890395,0.137890395,1,0.862109605
0.138544892,0.155959752,0.863390093,0.844040248
0.159,0.033,0.8491,0.967
0.1803,0.1948,0.8272,0.8052
0.18346101,0.168532705,0.844431349,0.831467295
0.1853,0.9615,0.8218,0.0385
0.229532898,0.382621798,0.840783526,0.617378202
0.248613212,0.074760464,0.758951084,0.925239536
0.258027079,0.150870406,0.743133462,0.849129594
0.264191711,0.205067767,0.757415046,0.803574936
0.266728148,0.142637565,0.739522492,0.857362435
0.276665934,0.426435012,0.728832197,0.573564988
0.279487811,0.328983009,0.732578183,0.671016991
0.279635258,0.164471462,0.799054374,0.835528538
0.287222051,0.38682242,0.713905113,0.61317758
0.309228797,0.396496475,0.71192053,0.603503525
0.31181578,0.289920725,0.841449604,0.710079275
0.319354115,0.753195784,0.685916125,0.246804216
0.322446864,0.491057543,0.67975635,0.508942457
0.375243365,0.582436725,0.625678861,0.417563275
0.415661167,0.299433637,0.595419847,0.700566363
0.560400707,0.646434885,0.450009821,0.353565115
0.5778,0.3998,0.449,0.6002
0.5872,0.7129,0.4291,0.2871
0.6461,0.6905,0.3712,0.3095
0.687877856,0.676196332,0.31283943,0.323803668
0.715204236,0.782400403,0.292107917,0.217599597
0.723770006,0.544991108,0.282039123,0.455008892
0.728660723,0.985039451,0.277384978,0.014960549
0.732503493,0.948431348,0.275498539,0.051568652
0.734505274,0.629331994,0.460170768,0.370668006
0.7418,0.8319,0.2677,0.1681
0.745260785,0.702121119,0.259657752,0.297878881
0.757234123,0.317925592,0.244269072,0.682074408
0.763605442,0.93737495,0.238295318,0.06262505
0.769184592,0.927363682,0.237718859,0.072636318
0.798760949,0.968703269,0.210959197,0.031296731
0.843,0.2498,0.1668,0.7502
0.850417616,0.091116173,0.165907365,0.908883827
0.861186119,0.758975898,0.140914091,0.241024102
0.862280971,0.547187212,0.141202992,0.452812788
0.862714509,0.955892781,0.149340519,0.044107219
0.871487149,0.99909991,0.133013301,0.00090009
0.8791,0.5432,0.128,0.4568
0.8841,0.6272,0.1226,0.3728
0.902478103,0.464751122,0.099765007,0.535248878
0.9058,0.9977,0.1019,0.0023
0.9102,0.9999,0.0938,0.0001
0.910264106,0.99989996,0.096838735,0.00010004
0.9107,0.0486,0.0935,0.9514
0.9164,0.9898,0.0881,0.0102
0.917716979,0.974280152,0.084332411,0.025719848
0.920092009,0.99839984,0.085108511,0.00160016
0.938,0.9999,0.066,0.0001
0.938193819,0.700270027,0.069806981,0.299729973
0.943077231,0.9994998,0.06442577,0.0005002
0.947073537,0.987093547,0.059329665,0.012906453
0.953576788,0.989594797,0.046623312,0.010405203
0.963981991,0.995197599,0.03861931,0.004802401
0.96549655,0.421442144,0.04230423,0.578557856
0.968449318,0.861490266,0.033117028,0.138509734
0.9692,0.9998,0.0321,0.0002
0.975129279,0.987441517,0.027210047,0.012558483
0.98440438,0.990155956,0.015816834,0.009844044
0.9879,0.9999,0.0124,0.0001
0.98939894,0.99929993,0.01230123,0.00070007
0.99489949,0.99689969,0.00530053,0.00310031
0.9952,1,0.0049,0
0.9959996,1,0.0040004,0
0.99949995,1,0.00050005,0
