bin,obs,exp
0,0,0
2,0,0.00227263516367597
4,0,0.0602924040276218
6,0,0.0318183453569639
8,0,0.0862412998439019
10,0,0.19487770585814
12,0,0.174930672663162
14,0,0.10744742288879
16,0,0.144806682558266
18,0,0.394831735514057
20,0,0.130401911195834
22,1,0.281722806722816
24,0,0.494637476751257
26,1,1.49850157439443
28,0,0.305971689730621
30,0,0.673880078417025
32,0,0.437571900227118
34,0,0.362197930882017
35,1,0.0396975425330813
36,0,0.973025053059222
38,1,1.03004117476464
40,0,2.44734218307145
42,1,0.818467765559688
44,0,0.32396286935951
46,0,0.852795849093198
48,3,1.60590541509
50,0,1.40082819202838
51,2,0.00397911041215394
52,0,1.15988351051427
53,2,0.0163900839991805
54,1,1.92715358857156
55,3,1.93081958627913
56,5,2.25634945010775
58,2,1.7036874509193
59,5,2.09106254323872
60,0,0.989117284053819
62,1,1.21553895586937
64,0,0.939522672433312
66,3,1.7909419464981
68,0,2.62746177608898
70,0,1.10416824449188
71,2,0.00722288985313139
72,2,1.482735013542
73,1,0.000447327219861329
74,2,2.51446311587675
75,1,0.00178465199286139
76,0,2.12163551021347
78,2,2.17803084707634
79,1,0.00204876049989756
80,0,3.20085368781369
82,1,1.51630696425252
83,5,0.142127518712847
84,0,1.47865203032082
85,2,0.00387765706563623
86,1,1.83483033051385
87,1,0.00099403578528827
88,1,2.23149806806546
89,4,0.216008635403199
90,0,2.62726639353925
91,4,0.0109793756967
92,1,2.74290923675067
93,2,0.246167891980203
94,1,4.07769144577088
96,2,2.9106269355788
97,1,0.255411255411255
98,1,1.76460498787266
100,1,2.99362591413876
101,1,0.00161453077699294
102,0,2.14190118980692
104,1,1.74742983773159
106,0,1.49690393932272
107,1,0.00348250043531255
108,1,1.47900562470133
109,1,0.0438413361169102
110,0,4.31019405421863
112,1,2.5011772809229
113,4,0.0112109928089885
114,2,1.58520100823571
116,1,2.14057209240576
117,2,0.0945469386112414
118,0,3.67440906943975
119,1,0.00701051577366049
120,0,1.62924626503388
122,3,1.79437555000662
123,1,0.0835117773019272
124,0,2.29208004180306
125,1,0.00118647419418628
126,0,2.43439988199512
127,1,0.00484359233097881
128,0,2.16045489731123
129,1,0.0178762960314623
130,1,2.31224032691285
132,2,1.87611434035972
134,1,1.27018614507807
136,0,1.58694622439794
137,1,0.00158005617977528
138,0,0.930929005777662
140,0,0.844480945285726
142,1,1.6039155183446
144,1,1.96134423778239
145,3,0.0100033688048669
146,0,1.02296065579365
148,1,2.09083920115973
149,1,0.00100150225338007
150,2,2.10810202902875
152,0,0.901767900273091
153,3,0.00443123011354933
154,1,0.961690138251691
156,1,1.11526144691471
158,1,1.46481025644064
160,1,1.7762217784133
161,1,0.00285714285714286
162,1,1.7530683677066
163,1,0.000696500087062511
164,2,1.47760756095845
165,2,0.0416224703482882
166,1,2.06623956983543
167,1,0.00229276895943563
168,3,2.67576552435708
169,2,0.000690548745141496
170,2,3.43258797034794
171,3,0.00733336636439282
172,0,2.24478618376205
174,0,1.99863960242097
175,2,0.0100805134380081
176,0,1.74475763246599
177,2,0.0160722905342886
178,0,1.49335759852678
179,2,0.00458456293991549
180,2,1.85956237828528
182,1,2.05494623895202
183,2,0.020586981527917
184,1,2.8901158758586
185,4,0.0166464952789598
186,0,2.36150812706627
187,2,0.00373473002648682
188,0,1.80283795689296
190,0,1.84329458112417
191,1,0.00787022165114038
192,0,1.82589783627774
194,0,1.67098176831249
196,0,1.15054166849228
197,2,0.00178753588135145
198,0,2.1005909975937
199,1,0.00229276895943563
200,1,1.44903966824595
201,1,0.00229276895943563
202,0,1.74771292636353
204,0,2.55777765859492
205,1,0.00229276895943563
206,2,2.14701126517011
208,3,2.7502743989482
209,1,0.00417463906766394
210,1,1.68296883737369
212,0,1.62453899696882
214,2,1.79230509881053
216,1,1.51186802000881
217,3,0.00947700843370085
218,0,1.47337643360041
219,4,0.0378402326038057
220,3,1.97696284459181
221,3,0.00411942651335191
222,0,2.03320742083424
223,2,0.00386539801737993
224,2,2.50747226885926
225,2,0.0500536288880944
226,1,1.86002076257653
228,1,1.27520356743306
230,4,1.70524702171979
232,1,1.38501860318942
234,0,1.97473865697951
235,2,0.0121880852356127
236,1,2.40985246101275
238,0,1.10341206187524
240,2,1.76935752673958
241,2,0.0124225771248413
242,3,1.48981589120504
244,0,1.67714023357719
245,2,0.000798543925482754
246,0,1.84895724383624
248,0,1.51938987342153
250,1,1.18984723380878
251,2,0.0173011840083031
252,1,1.34619027885037
253,2,0.0679989190088142
254,2,2.19899225373531
255,1,0.00173913043478261
256,0,2.63347457376573
257,3,0.0169993898951226
258,2,3.02183483933791
259,3,0.00491984159581589
260,2,2.63496609123787
262,1,2.68127083233249
264,3,2.22760715256855
265,1,0.00212626758259732
266,0,1.33105980248081
267,1,0.00147034798235582
268,0,1.97365494283038
269,2,0.00706713780918728
270,1,1.1356781364588
272,1,0.890248234492224
273,1,0.00212626758259732
274,1,1.21140325156008
276,0,1.39814184034519
277,2,0.00601279736075996
278,0,2.31142489983868
280,1,2.68657531884886
281,2,0.0127173913043478
282,0,1.82748313132292
283,1,0.00869565217391304
284,0,2.28725801961795
286,1,2.28413932481555
