obs,exp
136.5,125
115.5,103 
116,119
119.5,122
132.5,127
117.5,109
117.5,119
137,134
122,118
111.5,115
99.5,94
124.5,124
112,108
118,114
116,113
124,121
123.5,122
120,119
121.5,120
119,123
118.5,119
122,122
151,149
135,133
139.5,129
144,149
105,105
132.5,134
124.5,121
123.5,126
129,126
119.5,119
119,118
145,141
121.5,115
113,116
145,135
129,127
154,140
125.5,126
118.5,121
132,131
108.5,99
141,134
131,132
114,114
109,110
135,120
123.5,126
113,116
118.5,112
88.5,95
119.5,115
150,143
121.5,115
142,141
131.5,127
142.5,133
100.5,103
122.5,124
125.5,127
131.5,124
135,129
98,102
141.5,137
112.5,103
137.5,135
136.5,138
124.5,124
100.5,99
119,121
137.5,129
122.5,124
121.5,116
130.5,138
143.5,153
126.5,123
148.5,143
124,124
129.5,125
104,104
146.5,143
116,110
114.5,106
139,139
121.5,120
121.5,119
112,111
166.5,162
117.5,121
122,121
109,114
132,131
143.5,137
132.5,126
146.5,152
115.5,116
104.5,109
115.5,116
129,127
131.5,134
120.5,110
119,124
116,114
118,120
117,119
132,126
130.5,124
156,142
132.5,137
127,127.5
126.5,123
133.5,127
149.5,146
124,123
117,112
130.5,126
118,121
146.5,142
156,146
117.5,115
136,130
142.5,134
131.5,127
145.5,129
151,139
159,152
122,118
147.5,136
106.5,109
136.5,137
105.5,106
106.5,107
126.5,123
122.5,121
118,118
153,145
121.5,120
112.5,117
114,110
144,139
120,122
135.5,136
113,111
154.75,139
122,123
119,121
115.5,114
99.5,101
132.5,131
128.5,125
114.5,114
161.5,144
109.5,109
135,128
102.5,108
129,127
91,91
117.5,111
131.5,129
124,119
123,123
119,121
119.5,122
121,120
139.5,139
123.5,124
114.5,110
130.5,125
120.5,121
119,109
131,129
134.5,131
121.5,130
122.5,122
126.5,126
118,118
134,130
109,103
123.5,124
112,109
139.5,129
113,110
119.5,115
102.5,116
121,116
123,123
102.5,101
132,127
122,122
107,103
134,128
105,107
165,158
135,134
127.5,126
160.5,161
146.5,142
122,119
94,95
133.5,127
154.5,139
120,120
118,115
155.5,139
118,119
123.5,121
86.5,90
149.5,141.5
136,133
139,133
151,149
161,157
120,121
141.5,139
166.5,161
116.5,108
129.5,128
122.5,126
122,122
139,139
135.75,126
114,114
107.5,106
129,129
125,126
113.5,115
137,143
114.5,109
122.5,123
118.75,117
138,136
137.5,141
129,127
159,162
149.75,144
111,103
119.5,119
140,130
127,123
118.5,116
122.5,124
86,87
134,129
129.5,128
171,161
128,123
116.5,121
132,131
136.5,139
127.5,127
101.5,98
119.5,125
156,142
135,124
113,113
116.5,112
158,139
116.5,112
110.5,106
137.5,130
111.5,113
120,121
126,130.5
99.5,100
120.5,123
112.5,113
129.5,125
129,121
116.5,115
118.5,115
117.25,120
143.5,142
113,117
137.5,136
119.5,122
146.5,136
117.5,118
126.5,126
111,114
137.5,137
151,135
120,119
168,157
155.5,150
125,122
111,108
122.5,126
119,121
132.5,127
123,125
125,125
117,118
125,121
106.5,107
113,113
135.5,129
122,121
118.5,119
111.5,105
160.5,158
128.5,126
120,121
159.5,160
103,102
145.5,133
122.5,124
104,100
118.5,119
86.5,89
101,94
121.5,125
115.5,115
135.5,137
149.5,134
149.5,138
107.5,103
129,126
117.5,117
123.5,124
132.5,132
151,136
151,139
106.5,103
126.5,126
120.5,121
131,126
116.5,113
137.5,128
119.5,112
122,123
151.5,140
158.5,145
161,160
139.5,133
109.5,113
144,137
113,108
134,127
164,162
129,123
121,121
108.5,107
114,102
111,115
119.5,114
118,119
123,124
127,131
109.5,101
85,88
122,123
116.5,115
130,130
129.5,127
132.5,126
129,125
137.5,139
125.5,121
132,123
153.5,137
158,136
140.5,130
145,138
122.5,123
92,92
119.5,120
110,109
125,125
123.75,122
143.5,141
100.5,103
113.5,112
126.5,121
113.5,109
124,120
155.5,147
117.5,118
118,115
134.5,128
115.5,112
110.5,103
133.5,128
118,112
121.5,122
122,124
135.5,126
121.5,119
122.5,123
102.5,103
109.5,109
126,126
114.5,109
120,120
148.5,142
121.5,122
132.5,130
112,113
109,108
123.5,121
169,163
115.5,99
121,121
116.5,104
129.5,126
105.5,102
123.5,123
109,107
124,122
118.5,118
125,125
113,117
117.5,121
129,123
116.5,121
136.5,133
137.5,138
122,123
139,136
157,145
119.25,119
145,138
110,115
121,121
170,162
124.5,124
162.5,152
147.5,145
120.5,115
122,123
119.5,121
126,121
107.5,108
122.5,121
118,118
119.5,117
124,123
135,130
115.5,109
115.5,114
138,137
113,106
120.5,120
125.5,125
104.5,104
137,137
114.5,113
130.5,123
131,129
154,134
110.5,108
112,115
156,145.5
145.5,131
119,111
137.5,136
132,136
122.5,125
122,110
131.5,136
117.5,117
125,124
139,141
153.5,142
148.5,141
95.5,94
114,110
137.5,128
125,127
130.5,126
104,101
92.5,93
114.5,114
94,93
148.5,151
130.5,134
114.5,114
113.5,108
154.5,157
132.5,135
100,107
112.5,102
112.5,100
136.5,129
119,110
154,137
137,136
108.5,106
130.5,126
107.75,106
133.5,132
129,127
119,115
135.5,133
132.5,126
124.5,125
127,120
122,122
124.5,123
124,124
128.5,124
120,119
131,115
112,119
134,136
124.5,122
110.5,110
123.5,124
136,136
146.5,134
98.5,96
122.5,127
127,130.5
121,122
130.5,130
127,120
121,120
126.5,123
116.5,116
114,116
133.5,124
121,123
153.5,139
122,121
108.5,103
130,127
127.5,127
116,115
148,125
124,124
110.5,106
132,129
141.5,143
109,103
152.5,139
138.5,134
116.5,115
120,121
125.5,127
125,127
112.5,106
132.5,128
117,117
160.5,152
138,132
155,160
120,118
132.5,123
141,134
107.5,108
156.5,150
125,122
126.5,123
158.5,145
119.5,119
123,122
120,119
125,124
111.5,110
131.5,131
128.5,127
120,122
120,118
137,127
155.5,139
160,152
139.5,131
125,124
122,119
153.5,145
113.5,109
137.5,138
139.5,139
134.5,130
150.5,137
112.5,114
119.5,120
136.5,128
160,151
125.5,114
144,150
151.5,137
131.5,127
117.5,109
128.5,125
113.5,119
149.5,139
113,112
119.5,121
117,114
116.5,116
160.5,155
141.5,136
125.5,127
163,161
117.25,114
107,110
152,145
122.5,124
123,124
145,137
124.5,121
116,123
120,115
124.5,126
158.5,138
128,127
176,172
124,127
164.5,162
120,114
139.5,127
129.5,122
122.5,122
113,115
118,119
129.5,130
128.5,132
123.5,127
118,119
142,135
128,132
120.5,118
117.5,120
107,108
118,118
115.5,113
146.5,140
115.5,115
130,127
153.5,144
115.5,114
139.5,127
119.5,119
125,121
123.5,124
139.5,139
122.5,123
129,127
124,124
122,120
116,117
145,136
119,114
123.5,123
112,107
110.5,111
127.5,119
126.5,121
128,127
179,164
115.5,110
131.5,129
139.5,128
130,123
125.5,132
98,102
122,123
83.5,84
133.5,126
115.5,111
154,142
118,115
133.5,130
122,122
122,122
111.5,103
111,109
147.5,141
119,122
107,105
119.5,118
120.5,121
146,141
117.5,118
118,115
121,123
122,124
138,136
159,146
130,122
137.5,136
116.5,119
152,143
117.5,116
123,114
148,143
96.5,100.5
108.5,108
98,95
89.5,90
117,114
138,141
127.75,127
119,113
110.5,104
121.5,119
123,122
127,125
132.5,126
133,134
132.5,127
135.5,128
125,122
185,174
121,119
145,132
123,119
147.5,142
129,123
120.5,119
88.5,93
141.5,145
136.5,138
115.5,111
137.5,132
120.5,120
124,124
118.5,116
149.5,146
123.5,123
122,120
121.5,122
105.5,106
157.5,151
108.5,101
106.5,106
134,136
130.5,125
139.5,127
121.5,122
142.5,139
122.5,124
147.5,142
147.5,136
152.5,139
123,123
126,124
125,123
136.5,127
114.5,106
119,119
116.5,116
121,120
107,101
122.5,120
142,136
107.5,110
146,143
134.5,127
139.5,140
122,122
110,111
152.5,139
135,132
97,98
124,122
118.5,107
121.5,121
118.5,118
118.5,120
125,123
125.5,120
132.5,131
122,123
113,107
97.5,96
122,121
133.5,128
122,123
131.75,122
118.5,117
137,129
128,127
102.5,102
137,142
111.5,115
118.5,126
123,121
111,102
86.5,94
95,94
119.75,119
155.5,138
125,125
120,120
113,109
125.5,127
148,137
140.5,138
116,116
126.5,126
138,137
118,111
124,123
174.5,175
132.5,130
129,127
124,122
145.5,139
111.5,113
118,118
111.5,118
113,114
137.5,137
106.5,103
114.5,109
105,107
98,98
122.5,120
104.5,109
118.5,111
114,113
160.5,159
87.5,88
122.5,122
114,113
118,112
116.5,121
92.5,97
132,137
114.5,112
120.5,124
108.5,105
99.5,100
126.25,124
122.5,123
99.5,98
120,121
100.5,101
153,152
134.5,132
117,117
100.5,97
118.5,122
119.5,119
97,96
85,86
121.5,121
153,139
129.5,123
116,116
124.5,115
120,119
106.5,104
92.5,98
123,125
110.5,115
113.5,112
135.5,134
130.5,124
118,113
100.5,100
123,123
135.5,136
117,113
121.5,120
122.5,120
118,117
125.5,126
145.5,139
140,140
112.5,119
140.5,136
116.5,118
124,124
128.5,122
120.5,121
121,120
131,123
98.5,103
125,130
123.5,123
131.5,136
101,107
99.5,98
141.5,138
101.5,103
121.5,120
109.5,103
132,130
153.5,157
137,136
139,136
119,121
120,120
137.5,139
152.5,155
131.5,126
120,120
119.5,123
124,116
119,118
141.5,141
127,127
108.5,101
114.5,103
103,103
120,119
126.5,122
161,159
147.5,139
122,119
99,100
119,121
110,111
113,109
137,131
122,122
130,127
129,123
148.5,137
149.5,142
97,98
118,120
118,116
122,121
161.5,157
128.5,123
112.5,111
120,121
114,111
132,124
117.5,115
118,119
143.5,128
118,109
114,118
135,126
117.5,113
114.5,113.5
121.5,122
122.5,126
118.5,120
135.5,136
121,121
133,136
115,119
123,121
158.5,141
117,111
95,97
100,100
140.5,137
120,118
119.5,120
121.5,121
122.5,124
140.5,137
107.5,107
144,134
119,119
150,139
137.5,134
122,121
124,122
120.5,123
110,105
139.5,129
156,143
129.5,127
120,121
122.5,123
124,116
114,110
132,126
143.5,141
122,121
113,118
119.5,121
117.5,116
140,131
165.5,165
116,110
134,130
154,151
122,119
136.5,136
119,116
121.5,123
106,111
135.5,137
122,123
118.5,112
111.5,113
131.25,123
120.5,115
117.5,116
120.5,113
141,137
125.5,123
120.5,122
83,84
141.5,130
138,137
108,104
127,126
120.5,122
110.5,106
122.5,122
118.5,117
107.5,102
136.5,132
129.5,126
130.5,123
100.5,102
115,107
122.5,124
109,98
115,111
114,114
161.5,157
132.5,129
132,127
118.5,119
118.5,117.5
118,121
143.5,138
126.5,126
114,115
131.5,128
109,102
140.5,130
126,125
118.5,113
139,136
117.5,120
125,126
139.5,145
165,147
124,126
174.5,163
113.5,112
130,125
153.5,142
118,109
136.5,137
148,144
142.5,136
119,118
119.5,108
109,102
135,133
107.25,106
122.5,123
117,111
121,125
158.5,146
136,136
120,118
126.5,125
119,121
154,138
108.5,111
162.5,158
120,122
128,127
115,112
122,122
137,132
116,107
154,139.5
148.5,146
149.5,138
121.5,121
124,121
124.5,122
120.5,120
139.5,137
120,121
124.5,126
122,123
137.5,135
122,120
133,122
121.5,122
107,105
125,125
122.5,123
112,110
150,145
121.5,119
118.5,119
134,135
116.5,115
109,109
124,126
106.5,104
134.5,134
99.5,97
121,121
122,122
116.5,114
122,125
126.5,127
119,119
120.5,120
118.5,118
130.5,127
146,137
123.5,124
120.5,113
118,117
123,125
116,121
121.5,114
101,99
121.5,123
171,167
128.5,130
109,104
126,124
138,137
131,122
125.5,121
107.5,108
122.5,122
134.5,132
122.5,121
152,158
147.5,137
104.5,109
135,129
151,143
139.5,141
119,117
108.5,103
128.5,132
132,129
127.5,125
147.5,137
120,108
121.5,122
133.5,132
106.5,107
124.5,123
121.5,120
113,111
126.5,126
122.5,121
107,104
122,122
112.5,111
116,110
120.5,124
119.5,121
114.5,123
121.5,118
104.5,103
126.5,122
121.5,126
120,121
138,136
102.5,102
107.5,113
101.5,104
120.5,119
120.5,119
113.5,124
118.5,115
116.5,117
112.5,115
121,119
103,98
139.5,133
109,105
118.25,120
106,104
145.5,137
114.5,113
142,136
122.5,123
119,122
111.5,102
122,123
93,96
120,117
123,122
102.5,102
112.5,117
148.5,140
120,118
119,119
111.5,102
114,106
132.5,126
159.5,161
118,118
124,123
96,96
139,129
136.5,136
114.5,111
130,128
164.5,158
137.5,136
115.5,114
122,122
121.5,117
116,114
115.5,116
135,127
148,141
119,113
113.5,109
135,122
132,127
135,136
111,110
126,124
117.5,121
123,126
117,109
128,121
119,120
114.5,111.5
135.5,129
123.5,121
122,123
140.5,136
140.5,128
118,115
111.5,111
121,116
117.5,116
142.5,139
117.5,113
127.5,127
145,158
101,99
145,127
113,111
126.5,126
152.5,155
142,139
129,124
126,124
124,123
121.5,123
144,133
119.5,124
118,121
133.5,131
128.5,125
120.5,124
116.5,118
148.5,142
142,138
123,123
108,114
130.5,126
98,101
132.5,130
125,125
154.5,144
128.5,123
134.5,130
100.5,102
131,127
134.5,130
131.5,135
125.5,129
180.5,162
109,104
133.5,131
117.5,123
124,127
106.5,106
123.5,121
159.5,144
108.5,107
116.5,110
119.5,115
159,152
124.5,123
138.5,135
132.5,131
117.5,107
124.5,124
120.5,118
120,120
122,123
158,155
116,113
134.5,134
154,145
96.5,94
124,124
114,112
116.5,118
123.75,123
108.5,107
118.5,121
118.5,117
113,112
150,145
126,126
112.5,121
121.5,122
125.5,125
119,112
117.5,117
122,115
111,108
115,114
124,122
118,120
114.5,110
124.5,129
130,124
120.5,121
103.5,106
131,126
138.5,139
154.5,137
121.5,122
91,94
104.5,110
135.5,128
114.5,106
119,111
140,135
131.5,136
109.5,101
120.5,121
135.5,126
98,98
122,123
135.5,124
132.5,131
112.5,111
134,136
118,120
143.5,137
148.5,138
119.5,122
148.5,145
155,147
147.5,139
122,115
110.5,108
132.5,139
135.5,131
131.5,132
131.5,130
125,124
137,128
106.25,103
115.5,112
123,121
118,107
154.5,158
121.5,121
92.5,95
147.5,139
131.5,126
152.5,146
119,114
117.5,120
135,131
91.5,91
127.5,131
141,132
119.5,119
103.5,104
131.5,126
122,122
108.5,103
122,123
123,119
148.5,134
113.5,118
140,141
151,143
121.5,121
130,132
118.5,120
105.5,109
125,117
117,115
120.5,120
133,125
118.5,117
122,123
114.5,116
148,133
114.5,104
118.5,111
115.5,111
103,103
128,126
129,128
120.5,122
103.5,104
123.5,123
119.5,120
138.5,128
119,114
113.5,117
119,114
161.5,163
123.5,122
164.5,152
127.5,126
147.5,132
122.5,124
121.5,121
123.5,122
128.5,122
122,121
139.5,127
120.5,119
123.5,122
124,123
134.5,128
106.5,108
115.5,119
131.5,123
120,118
121,122
122.5,122
154,139
113.5,114
113,117
122.5,123
114.5,107
133,127
124.5,123
114.5,119
104,99
134.5,132
137,136
145,138
121.5,122
112.5,104
161.5,159
131.5,126
124,127
144.5,149
113.5,108
149.5,144
122.5,122
110,107
122,122
105.5,105
126,124
132.5,125
175.5,173
142.5,130
152.5,134
148.5,147
116.5,118
126.5,127
121.5,120
122.5,123
147.5,140
126.5,127
130.5,127
117.5,115
114.5,113
138.5,142
148.5,137
137,125
139,144
123,125
135,134
99,101
117.5,114
169.5,164
111.5,107
125.5,123
108,105
107,101
119,120
136.5,134
131.5,122
115,112
132,126
120,116
